name,molecule,dosage_form,date_of_approval,company,treatment_for,url,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,side_effects_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,number_side_effects,price,shop_dosis,prices_url
Actemra,tocilizumab,Injection,"January 8, 2010","Genentech USA, Inc.","Rheumatoid Arthritis, Giant Cell Arteritis, Systemic Sclerosis-Associated Interstitial Lung Disease, Juvenile Idiopathic Arthritis, Cytokine Release Syndrome, COVID-19",https://www.drugs.com/actemra.html,https://www.drugs.com/mtm/tocilizumab.html,Interleukin inhibitors,,"prednisone, naproxen, methotrexate, hydroxychloroquine, Humira, Paxlovid, Enbrel",6.9,45,https://www.drugs.com/comments/tocilizumab/actemra.html,https://www.drugs.com/sfx/actemra-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2010,,Rheumatoid Arthritis  ,6.6,33,40.0,$568.81,20 mg/mL,https://www.drugs.com/price-guide/actemra
Actonel with Calcium,risedronate sodium and calcium carbonate,,"August 12, 2005","Procter & Gamble Pharmaceuticals, Inc.",Osteoporosis,https://www.drugs.com/actonel_calcium.html,https://www.drugs.com/cdi/risedronate-and-calcium.html,Bisphosphonates,,,,,,https://www.drugs.com/sfx/actonel-with-calcium-side-effects.html,Discontinued,Risk data available,Not a controlled drug,Drug history at FDA,,,,,7.0,,,
ACTOplus met,pioglitazone and metformin,Tablets,"August 29, 2005",Takeda Pharmaceuticals,"Diabetes, Type 2",https://www.drugs.com/actoplus_met.html,https://www.drugs.com/mtm/metformin-and-pioglitazone.html,Antidiabetic combinations,,"metformin, Trulicity, Lantus, Tresiba, Victoza, Levemir",,,,https://www.drugs.com/sfx/actoplus-met-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,7.0,,,
Acuvail,ketorolac tromethamine,Ophthalmic Solution,"July 22, 2009","Allergan, Inc.",Postoperative Ocular Inflammation,https://www.drugs.com/acuvail.html,https://www.drugs.com/mtm/ketorolac-ophthalmic.html,Acular,,"diclofenac ophthalmic, dexamethasone ophthalmic, ketorolac ophthalmic, prednisolone ophthalmic, clobetasol ophthalmic, flurbiprofen ophthalmic",,,,https://www.drugs.com/sfx/acuvail-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,7.0,$361.45,0.45%,https://www.drugs.com/price-guide/acuvail
Adacel,,,"June 10, 2005",Aventis Pasteur Limited,"Tetanus Prophylaxis, Diphtheria Prophylaxis, Pertussis Prophylaxis",https://www.drugs.com/adacel.html,https://www.drugs.com/mtm/tetanus-diphtheria-acellular-pertussis-vaccine-tdap.html,Boostrix (Tdap),,"azithromycin, Zithromax, clarithromycin, Biaxin, Daptacel (DTaP), Boostrix (Tdap), Tetanus Toxoid Adsorbed",,,,https://www.drugs.com/sfx/adacel-tdap-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,2.0,,,
Adakveo,crizanlizumab-tmca,Injection,"November 15, 2019",Novartis,"Sickle Cell Disease, Sickle Cell Anemia",https://www.drugs.com/adakveo.html,https://www.drugs.com/mtm/crizanlizumab.html,Miscellaneous uncategorized agents,,,,,,https://www.drugs.com/sfx/adakveo-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2019,,,,,9.0,"$2,592.45",tmca 10 mg/mL,https://www.drugs.com/price-guide/adakveo
Adasuve,loxapine,Inhalation Powder  - formerly AZ-004,"December 21, 2012","Alexza Pharmaceuticals, Inc.","Agitation, Schizophrenia, Bipolar Disorder",https://www.drugs.com/adasuve.html,https://www.drugs.com/mtm/loxapine.html,Miscellaneous antipsychotic agents,,"quetiapine, aripiprazole, Abilify, Seroquel, olanzapine, risperidone, dexmedetomidine",,,,https://www.drugs.com/sfx/adasuve-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,$766.40,10 mg,https://www.drugs.com/price-guide/adasuve
Adbry,tralokinumab-ldrm,Injection,"December 27, 2021",LEO Pharma Inc.,Atopic Dermatitis,https://www.drugs.com/adbry.html,https://www.drugs.com/mtm/tralokinumab.html,Interleukin inhibitors,,,,,,https://www.drugs.com/sfx/adbry-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2021,,,,,13.0,"$2,030.75",ldrm 150mg/mL,https://www.drugs.com/price-guide/adbry
Adcetris,brentuximab vedotin,Injection,"August 19, 2011","Seattle Genetics, Inc.","Lymphoma, Hodgkin's Lymphoma, Mycosis Fungoides",https://www.drugs.com/adcetris.html,https://www.drugs.com/mtm/brentuximab-vedotin.html,CD30 monoclonal antibodies,,,,,,https://www.drugs.com/sfx/adcetris-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2011,,,,,42.0,"$11,910.51",50 mg,https://www.drugs.com/price-guide/adcetris
Adcirca,tadalafil,Tablets,"May 22, 2009",United Therapeutics Corporation,Pulmonary Arterial Hypertension,https://www.drugs.com/adcirca.html,https://www.drugs.com/tadalafil.html,Agents for pulmonary hypertension,,,,,,https://www.drugs.com/sfx/adcirca-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,22.0,"$4,400.51",20 mg,https://www.drugs.com/price-guide/adcirca
Addyi,flibanserin,Tablets,"August 18, 2015","Sprout Pharmaceuticals, Inc.",Hypoactive Sexual Desire Disorder,https://www.drugs.com/addyi.html,https://www.drugs.com/mtm/flibanserin.html,Miscellaneous central nervous system agents,,"flibanserin, Vyleesi, bremelanotide, Ristela",3.8,68,https://www.drugs.com/comments/flibanserin/addyi.html,https://www.drugs.com/sfx/addyi-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2015,,Hypoactive Sexual Desire Disorder  ,3.8,68,6.0,$882.44,100 mg,https://www.drugs.com/price-guide/addyi
Adempas,riociguat,Tablets,"October 8, 2013",Bayer HealthCare Pharmaceuticals Inc.,Pulmonary Arterial Hypertension,https://www.drugs.com/adempas.html,https://www.drugs.com/mtm/riociguat.html,Vasodilators,,,,,,https://www.drugs.com/sfx/adempas-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2013,,,,,4.0,"$1,466.21",0.5 mg,https://www.drugs.com/price-guide/adempas
Adlarity,donepezil,Transdermal System,"March 11, 2022","Corium, Inc.",Alzheimer's Disease,https://www.drugs.com/adlarity.html,https://www.drugs.com/mtm/donepezil.html,Cholinesterase inhibitors,,"donepezil, memantine, Aricept, Namenda, rivastigmine, Exelon",,,,https://www.drugs.com/sfx/adlarity-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,$483.35,5 mg/24 hr,https://www.drugs.com/price-guide/adlarity
Adlyxin,lixisenatide,Injection,"July 27, 2016",Sanofi,"Diabetes, Type 2",https://www.drugs.com/adlyxin.html,https://www.drugs.com/cons/lixisenatide.html,Incretin Mimetics (GLP-1 Agonists),,"metformin, Trulicity, Lantus, Tresiba, Victoza, Levemir",,,,https://www.drugs.com/sfx/adlyxin-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2016,,,,,3.0,$724.00,Adlyxin,https://www.drugs.com/price-guide/adlyxin
AdreView,iobenguane I 123,Injection,"September 19, 2008",GE Healthcare,Diagnosis and Investigation,https://www.drugs.com/adreview.html,https://www.drugs.com/mtm/iobenguane-i-123.html,Diagnostic radiopharmaceuticals,,"glucagon, mannitol, Lexiscan, Ceretec, arginine, metyrapone",,,,https://www.drugs.com/sfx/adreview-side-effects.html,Prescription only,,Not a controlled drug, FDA approved 2008,,,,,14.0,"$5,132.50",370 mBq/5 mL,https://www.drugs.com/price-guide/adreview
Adstiladrin,nadofaragene firadenovec-vncg,Suspension for Intravesical Use,"December 16, 2022",Ferring Pharmaceuticals,Bladder Cancer,https://www.drugs.com/adstiladrin.html,https://www.drugs.com/mtm/nadofaragene-firadenovec.html,Miscellaneous antineoplastics,,,,,,https://www.drugs.com/sfx/adstiladrin-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,7.0,"$ 60,000.00",vncg,https://www.drugs.com/price-guide/adstiladrin
Aduhelm,aducanumab-avwa,Injection,"June 7, 2021",Biogen,Alzheimer's Disease,https://www.drugs.com/aduhelm.html,https://www.drugs.com/mtm/aducanumab.html,Miscellaneous central nervous system agents,,"donepezil, memantine, Aricept, Namenda, rivastigmine, Exelon",,,,https://www.drugs.com/sfx/aduhelm-side-effects.html,Discontinued,Risk data available,Not a controlled drug, FDA approved 2021,,,,,16.0,$514.31,avwa 100 mg/mL,https://www.drugs.com/price-guide/aduhelm
Advate,antihemophilic factor [recombinant],,"July 25, 2003",Baxter Healthcare Corp,Hemophilia A,https://www.drugs.com/advate.html,https://www.drugs.com/mtm/antihemophilic-factor-human.html,Miscellaneous coagulation modifiers,,"tranexamic acid, desmopressin, Cyklokapron, DDAVP, Hemlibra, antihemophilic factor",,,,https://www.drugs.com/sfx/advate-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,1.0,$11.50,recombinant albumin-free,https://www.drugs.com/price-guide/advate
Adzynma,"ADAMTS13, recombinant-krhn",Lyophilized Powder for Injection,"November 9, 2023",Takeda,Thrombotic Thrombocytopenic Purpura,https://www.drugs.com/adzynma.html,https://www.drugs.com/mtm/apadamtase-alfa-recombinant.html,Lysosomal enzymes,,,,,,https://www.drugs.com/sfx/adzynma-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,12.0,$12.96,krhn 500 intl units,https://www.drugs.com/price-guide/adzynma
Afinitor,everolimus,Tablets,"March 30, 2009",Novartis AG,"Renal Cell Carcinoma, Breast Cancer, Neuroendocrine Carcinoma",https://www.drugs.com/afinitor.html,https://www.drugs.com/everolimus.html,Afinitor Disperz,,"Enhertu, Kisqali, Ibrance, Trodelvy, Keytruda, capecitabine, Arimidex",5.4,20,https://www.drugs.com/comments/everolimus/afinitor.html,https://www.drugs.com/sfx/afinitor-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2009,,Breast Cancer  ,4.3,11,17.0,"$18,803.24",2.5 mg,https://www.drugs.com/price-guide/afinitor
Afluria,"influenza virus vaccine, inactivated",Injection,"September 28, 2007",Seqirus,Influenza Prophylaxis,https://www.drugs.com/afluria.html,https://www.drugs.com/mtm/influenza-virus-vaccine-injection.html,Afluria Quadrivalent,,,,,,https://www.drugs.com/sfx/afluria-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,2.0,$170.25,preservative-free trivalent,https://www.drugs.com/price-guide/afluria
Afrezza,insulin human [rDNA origin],Inhalation Powder  - formerly Afresa,"June 27, 2014",MannKind Corporation,"Diabetes, Type 1, Diabetes, Type 2",https://www.drugs.com/afrezza.html,https://www.drugs.com/mtm/insulin-inhalation.html,Insulin,,,5.5,36,https://www.drugs.com/comments/insulin-inhalation-rapid-acting/afrezza.html,https://www.drugs.com/sfx/afrezza-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,"Diabetes, Type 1  ",6.3,22,19.0,$484.37,4 units,https://www.drugs.com/price-guide/afrezza
Agamree,vamorolone,Oral Suspension,"October 26, 2023","Catalyst Pharmaceuticals, Inc.",Duchenne Muscular Dystrophy,https://www.drugs.com/agamree.html,https://www.drugs.com/mtm/vamorolone.html,Glucocorticoids,,"Elevidys, Viltepso, deflazacort, Emflaza, Exondys 51, vamorolone, Duvyzat",,,,https://www.drugs.com/sfx/agamree-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2023,,,,,5.0,"$10,013.00",40 mg/mL,https://www.drugs.com/price-guide/agamree
Agriflu,"influenza virus vaccine, inactivated",Injection,"November 27, 2009","Novartis Vaccines and Diagnostics, Inc.",Influenza Prophylaxis,https://www.drugs.com/agriflu.html,https://www.drugs.com/mtm/influenza-virus-vaccine-injection.html,Viral vaccines,,,,,,https://www.drugs.com/sfx/agriflu-side-effects.html,Discontinued,Risk data available,Not a controlled drug,,,,,,2.0,,,
Aimovig,erenumab-aooe,Injection,"May 17, 2018",Amgen Inc.,Migraine Prevention,https://www.drugs.com/aimovig.html,https://www.drugs.com/erenumab.html,CGRP inhibitors,,,5.0,613,https://www.drugs.com/comments/erenumab/aimovig.html,https://www.drugs.com/sfx/aimovig-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Migraine Prevention  ,5.0,612,1.0,$802.01,aooe 70 mg/mL,https://www.drugs.com/price-guide/aimovig
Airsupra,albuterol and budesonide,Inhalation Aerosol,"January 10, 2023",AstraZeneca Pharmaceuticals LP,Asthma,https://www.drugs.com/airsupra.html,https://www.drugs.com/mtm/albuterol-and-budesonide-inhalation.html,Antiasthmatic combinations,,,,,,https://www.drugs.com/sfx/airsupra-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,,,,2.0,$509.68,90 mcg-80 mcg/inh,https://www.drugs.com/price-guide/airsupra
Ajovy,fremanezumab-vfrm,Injection,"September 14, 2018",Teva Pharmaceutical Industries Ltd.,Migraine Prevention,https://www.drugs.com/ajovy.html,https://www.drugs.com/mtm/fremanezumab.html,CGRP inhibitors,,,5.4,324,https://www.drugs.com/comments/fremanezumab/ajovy.html,https://www.drugs.com/sfx/ajovy-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Migraine Prevention  ,5.4,323,10.0,$781.52,vfrm 225 mg/1.5 mL,https://www.drugs.com/price-guide/ajovy
Akeega,abiraterone acetate and niraparib,Tablets,"August 11, 2023","Janssen Pharmaceuticals, Inc.",Prostate Cancer,https://www.drugs.com/akeega.html,https://www.drugs.com/mtm/abiraterone-and-niraparib.html,Antineoplastic combinations,,,,,,https://www.drugs.com/sfx/akeega-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,36.0,"$19,753.25",500 mg-50 mg,https://www.drugs.com/price-guide/akeega
Aklief,trifarotene,Topical Cream,"October 4, 2019",Galderma,Acne,https://www.drugs.com/aklief.html,https://www.drugs.com/mtm/trifarotene-topical.html,Topical acne agents,,"doxycycline, clindamycin topical, erythromycin topical, tetracycline, Tazorac",,,,https://www.drugs.com/sfx/aklief-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2019,,,,,1.0,$751.97,0.005%,https://www.drugs.com/price-guide/aklief
Akten,lidocaine hydrochloride,Ophthalmic Gel,"October 7, 2008","Akorn, Inc.",Ocular Anesthesia,https://www.drugs.com/akten.html,https://www.drugs.com/cons/lidocaine-ophthalmic.html,Ophthalmic anesthetics,,"lidocaine ophthalmic, cocaine nasal, bupivacaine, Alcaine, proparacaine ophthalmic, chloroprocaine ophthalmic, Balanced Salt Solution",,,,,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,,$34.10,3.5%,https://www.drugs.com/price-guide/akten
Akynzeo,netupitant and palonosetron,Capsules,"October 10, 2014",Helsinn Group,"Nausea/Vomiting, Chemotherapy Induced",https://www.drugs.com/akynzeo.html,https://www.drugs.com/mtm/netupitant-and-palonosetron.html,Miscellaneous antiemetics,,"ondansetron, lorazepam, dexamethasone, Zofran, Ativan, metoclopramide",,,,https://www.drugs.com/sfx/akynzeo-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,11.0,$736.18,300 mg-0.5 mg,https://www.drugs.com/price-guide/akynzeo
Aldurazyme,laronidase,,"April 30, 2003",Biomarin Pharmaceutical,Mucopolysaccharidosis Type I,https://www.drugs.com/aldurazyme.html,https://www.drugs.com/mtm/laronidase.html,Lysosomal enzymes,,,,,,https://www.drugs.com/sfx/aldurazyme-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2003,,,,,38.0,"$1,136.80",2.9 mg/5 mL,https://www.drugs.com/price-guide/aldurazyme
Alecensa,alectinib,Capsules,"December 11, 2015","Genentech, Inc.",Non-Small Cell Lung Cancer,https://www.drugs.com/alecensa.html,https://www.drugs.com/alectinib.html,Multikinase inhibitors,,,,,,https://www.drugs.com/sfx/alecensa-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2015,,,,,20.0,"$19,530.95",150 mg,https://www.drugs.com/price-guide/alecensa
Aleve PM,diphenhydramine hydrochloride and naproxen sodium,Caplets,"January 16, 2014","Bayer HealthCare LLC, Consumer Care","Pain, Insomnia",https://www.drugs.com/aleve-pm.html,https://www.drugs.com/mtm/diphenhydramine-and-naproxen.html,Analgesic combinations,,,6.8,40,https://www.drugs.com/comments/diphenhydramine-naproxen/aleve-pm.html,https://www.drugs.com/sfx/aleve-pm-side-effects.html,Over the counter,Risk data available,Not a controlled drug,Drug history at FDA,,Insomnia  ,7.0,25,27.0,not found,not found,https://www.drugs.com/price-guide/aleve-pm
Alimta,pemetrexed,Injection,"February 4, 2004",Eli Lilly,"Malignant Pleural Mesothelioma, Non-Small Cell Lung Cancer",https://www.drugs.com/alimta.html,https://www.drugs.com/mtm/pemetrexed.html,Antimetabolites,,"Opdivo, methotrexate, Keytruda, pembrolizumab, Avastin, cisplatin, Tagrisso",,,,https://www.drugs.com/sfx/alimta-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,21.0,$860.96,100 mg,https://www.drugs.com/price-guide/alimta
Aliqopa,copanlisib,Injection,"September 14, 2017","Bayer Healthcare Pharmaceuticals, Inc.",Follicular Lymphoma,https://www.drugs.com/aliqopa.html,https://www.drugs.com/mtm/copanlisib.html,PI3K inhibitors,,,,,,https://www.drugs.com/sfx/aliqopa-side-effects.html,Discontinued,Risk data available,Not a controlled drug,Drug history at FDA,,,,,38.0,"$5,541.54",60 mg,https://www.drugs.com/price-guide/aliqopa
Allegra-D 24 Hour,fexofenadine and pseudoephedrine,,"October 19, 2004",Sanofi Aventis US,"Allergic Rhinitis, Nasal Congestion",https://www.drugs.com/allegra_d_24.html,https://www.drugs.com/mtm/fexofenadine-and-pseudoephedrine.html,Allegra-D 12 Hour,,,6.1,35,https://www.drugs.com/comments/fexofenadine-pseudoephedrine/allegra-d-24-hour.html,https://www.drugs.com/sfx/allegra-d-24-hour-side-effects.html,Rx and/or OTC,Risk data available,Not a controlled drug,,Anti-Doping Classification,Allergic Rhinitis  ,6.1,32,1.0,,,
AllerNaze,triamcinolone acetonide,Nasal Spray  - formerly AllerNase,"January 7, 2009","Collegium Pharmaceutical, Inc.",Allergic Rhinitis,https://www.drugs.com/allernaze.html,https://www.drugs.com/mtm/triamcinolone-nasal.html,Nasal steroids,,,,,,,Discontinued,Risk data available,Not a controlled drug,,Anti-Doping Classification,,,,,,,
Alli,orlistat,60 mg Capsules,"February 7, 2007",GlaxoSmithKline Consumer Healthcare,Weight Loss (Obesity/Overweight),https://www.drugs.com/alli.html,https://www.drugs.com/orlistat.html,Xenical,,"Mounjaro, semaglutide, phentermine, Wegovy, Zepbound, Saxenda",6.1,118,https://www.drugs.com/comments/orlistat/alli.html,https://www.drugs.com/sfx/alli-side-effects.html,Over the counter,Risk data available,Not a controlled drug,Drug history at FDA,,Weight Loss (Obesity/Overweight)  ,6.0,114,24.0,$55.82,60 mg,https://www.drugs.com/price-guide/alli
Aloxi,palonosetron,Injection,"July 25, 2003",Helsinn Healthcare,"Nausea/Vomiting, Chemotherapy Induced",https://www.drugs.com/aloxi.html,https://www.drugs.com/mtm/palonosetron-injection.html,5HT3 receptor antagonists,,"ondansetron, lorazepam, dexamethasone, Zofran, Ativan, metoclopramide, Reglan",,,,https://www.drugs.com/sfx/aloxi-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2003,,,,,10.0,$62.15,0.25 mg/5 mL,https://www.drugs.com/price-guide/aloxi
Alsuma,sumatriptan,Injection,"June 29, 2010","King Pharmaceuticals, Inc.","Migraine, Cluster Headaches",https://www.drugs.com/alsuma.html,https://www.drugs.com/mtm/sumatriptan-injection.html,Antimigraine agents,,"prednisone, ibuprofen, amitriptyline, diclofenac, propranolol, topiramate, celecoxib",,,,https://www.drugs.com/sfx/alsuma-side-effects.html,Discontinued,Risk data available,Not a controlled drug,Drug history at FDA,,,,,2.0,$215.38,6 mg/0.5 mL,https://www.drugs.com/price-guide/alsuma
Altabax,retapamulin,Ointment,"April 12, 2007",GlaxoSmithKline,Impetigo,https://www.drugs.com/altabax.html,https://www.drugs.com/mtm/retapamulin-topical.html,Topical antibiotics,,"cefuroxime, mupirocin topical, cefadroxil, Bactroban, Ceftin, Duricef",8.4,11,https://www.drugs.com/comments/retapamulin-topical/altabax.html,https://www.drugs.com/sfx/altabax-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2007,,Impetigo  ,8.4,8,2.0,$389.74,1%,https://www.drugs.com/price-guide/altabax
Altuviiio,"antihemophilic factor recombinant, Fc-VWF-XTEN fusion protein-ehtl",Lyophilized Powder for Injection,"February 22, 2023",Sanofi,Hemophilia A,https://www.drugs.com/altuviiio.html,https://www.drugs.com/mtm/antihemophilic-factor-human.html,Miscellaneous coagulation modifiers,,"tranexamic acid, desmopressin, Cyklokapron, DDAVP, Hemlibra, antihemophilic factor",,,,https://www.drugs.com/sfx/altuviiio-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,1.0,$15.04,Fc-vwf-xten fusion protein-ehtl,https://www.drugs.com/price-guide/altuviiio
Alunbrig,brigatinib,Tablets,"April 28, 2017",Takeda Pharmaceutical Company Limited,Non-Small Cell Lung Cancer,https://www.drugs.com/alunbrig.html,https://www.drugs.com/mtm/brigatinib.html,Multikinase inhibitors,,,,,,https://www.drugs.com/sfx/alunbrig-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,,,,48.0,"$20,849.42",90 mg-180 mg,https://www.drugs.com/price-guide/alunbrig
Alvesco,ciclesonide,Inhalation Aerosol,"January 10, 2008",Nycomed,Asthma,https://www.drugs.com/alvesco.html,https://www.drugs.com/mtm/ciclesonide-inhalation.html,Inhaled corticosteroids,,"prednisone, Symbicort, Ventolin HFA, Ventolin, Dupixent, Breo Ellipta, Xopenex",7.2,30,https://www.drugs.com/comments/ciclesonide/alvesco.html,https://www.drugs.com/sfx/alvesco-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,"Asthma, Maintenance  ",7.3,20,17.0,$298.24,80 mcg/inh,https://www.drugs.com/price-guide/alvesco
