name,molecule,dosage_form,date_of_approval,company,treatment_for,url,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,CSA Schedule*,Pregnancy & Lactation,Approval History,WADA Class
Risvan,risperidone,for Extended-Release Injectable Suspension,"March 29, 2024","Laboratorios Farmacéuticos Rovi, S.A.",Schizophrenia,https://www.drugs.com/risvan.html,https://www.drugs.com/risperidone.html,Atypical antipsychotics,,"quetiapine, aripiprazole, Abilify, Seroquel, olanzapine, risperidone",,,,Prescription only,Not a controlled drug,Risk data available,Drug history at FDA,
Simlandi,adalimumab-ryvk,Injection,"February 23, 2024",Alvotech and Teva Pharmaceutical Industries Ltd.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/simlandi.html,https://www.drugs.com/adalimumab.html,TNF alfa inhibitors,,"Entyvio, Cimzia, Otezla, Stelara, Taltz, Lialda, Remicade",,,,Prescription only,Not a controlled drug,Risk data available,,
Tevimbra,tislelizumab-jsgr,Injection,"March 13, 2024","BeiGene, Ltd.",Esophageal Carcinoma,https://www.drugs.com/tevimbra.html,,,,,,,,Prescription only,,,Drug history at FDA,
Tryvio,aprocitentan,Tablets,"March 19, 2024",Idorsia Ltd.,High Blood Pressure,https://www.drugs.com/tryvio.html,,,,,,,,,,,,
Tyenne,tocilizumab-aazg,Injection,"March 5, 2024",Fresenius Kabi,"Rheumatoid Arthritis, Giant Cell Arteritis, Polyarticular Juvenile Idiopathic Arthritis, Juvenile Idiopathic Arthritis",https://www.drugs.com/tyenne.html,https://www.drugs.com/mtm/tocilizumab.html,Interleukin inhibitors,https://www.drugs.com/images/pills/custom/pill35699-1/tyenne.jpg,"prednisone, naproxen, methotrexate, hydroxychloroquine, Humira, Enbrel, adalimumab",,,,Prescription only,Not a controlled drug,Risk data available,,
Vafseo,vadadustat,Tablets,"March 27, 2024","Akebia Therapeutics, Inc.",Anemia Due to Chronic Kidney Disease,https://www.drugs.com/vafseo.html,,,https://www.drugs.com/images/pills/custom/pill35730-1/vafseo.png,,,,,Prescription only,,, FDA approved 2024,
Voydeya,danicopan,Tablets,"March 29, 2024",AstraZeneca,Paroxysmal Nocturnal Hemoglobinuria,https://www.drugs.com/voydeya.html,,,,"Ultomiris, Soliris, eculizumab, Empaveli, Fabhalta, ravulizumab",,,,Prescription only,,,,
Winrevair,sotatercept,for Injection,"March 26, 2024",Merck,Pulmonary Arterial Hypertension,https://www.drugs.com/winrevair.html,,,https://www.drugs.com/images/pills/custom/pill35725-1/winrevair.png,,,,,Prescription only,,,,
Wyost,denosumab-bbdz,Injection,"March 5, 2024",Sandoz,"Osteolytic Bone Lesions of Multiple Myeloma, Osteolytic Bone Metastases of Solid Tumors, Giant Cell Tumor of Bone, Hypercalcemia of Malignancy",https://www.drugs.com/wyost.html,https://www.drugs.com/denosumab.html,Miscellaneous bone resorption inhibitors,,,,,,Prescription only,Not a controlled drug,Risk data available,,
Zelsuvmi,berdazimer sodium,Topical Gel,"January 5, 2024",Ligand Pharmaceuticals Incorporated,Molluscum Contagiosum,https://www.drugs.com/zelsuvmi.html,https://www.drugs.com/drug-class/miscellaneous-topical-agents.html,,,,,,,Prescription only,Not a controlled drug,,,
Zevtera,ceftobiprole medocaril,for Injection,"April 3, 2024",Basilea Pharmaceutica Ltd.,"Bacteremia, Skin and Structure Infection, Pneumonia",https://www.drugs.com/zevtera.html,,,,,,,,Prescription only,,,,
