name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,WADA Class,Approval History,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Cambia,diclofenac potassium,for Oral Solution  - formerly PRO-513,"June 17, 2009","Kowa Pharmaceuticals America, Inc.",Migraine,https://www.drugs.com/cambia.html,https://www.drugs.com/diclofenac.html,Nonsteroidal anti-inflammatory drugs,https://www.drugs.com/images/pills/custom/pill33246-1.webp,"ibuprofen, aspirin, amitriptyline, propranolol, diclofenac, topiramate, celecoxib",7.2,57,https://www.drugs.com/comments/diclofenac/cambia.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,Migraine  ,7.2,57,https://www.drugs.com/comments/diclofenac/cambia.html
Zipsor,diclofenac potassium,Capsules,"June 16, 2009","Xanodyne Pharmaceuticals, Inc.",Pain,https://www.drugs.com/zipsor.html,https://www.drugs.com/diclofenac.html,Nonsteroidal anti-inflammatory drugs,https://www.drugs.com/images/pills/nlm/664790592.jpg,"gabapentin, acetaminophen, ibuprofen, aspirin, tramadol, cyclobenzaprine, Paracetamol",7.2,37,https://www.drugs.com/comments/diclofenac/zipsor.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,Pain  ,7.5,20,https://www.drugs.com/comments/diclofenac/zipsor.html
Multaq,dronedarone,Tablets,"July 1, 2009",Sanofi-aventis,"Atrial Fibrillation, Atrial Flutter",https://www.drugs.com/multaq.html,https://www.drugs.com/mtm/dronedarone.html,Group III antiarrhythmics,https://www.drugs.com/images/pills/nlm/000244142.jpg,,6.7,43,https://www.drugs.com/comments/dronedarone/multaq.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Atrial Fibrillation  ,7.0,39,https://www.drugs.com/comments/dronedarone/multaq.html
Afinitor,everolimus,Tablets,"March 30, 2009",Novartis AG,"Renal Cell Carcinoma, Breast Cancer, Neuroendocrine Carcinoma",https://www.drugs.com/afinitor.html,https://www.drugs.com/everolimus.html,Afinitor Disperz,https://www.drugs.com/images/pills/nlm/000780567.jpg,"Verzenio, Ibrance, Keytruda, Avastin, Arimidex, pembrolizumab, fluorouracil",5.4,20,https://www.drugs.com/comments/everolimus/afinitor.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Breast Cancer  ,4.3,11,https://www.drugs.com/comments/everolimus/afinitor.html
Uloric,febuxostat,Tablets,"February 13, 2009",Takeda Pharmaceutical Company Limited,Gout,https://www.drugs.com/uloric.html,https://www.drugs.com/mtm/febuxostat.html,Antihyperuricemic agents,https://www.drugs.com/images/pills/mmx/t108910f/uloric.jpg,,8.1,46,https://www.drugs.com/comments/febuxostat/uloric.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Gout  ,8.1,46,https://www.drugs.com/comments/febuxostat/uloric.html
Feraheme,ferumoxytol,Intravenous Injection,"June 30, 2009","AMAG Pharmaceuticals, Inc.","Anemia Due to Chronic Kidney Disease, Iron Deficiency Anemia",https://www.drugs.com/feraheme.html,https://www.drugs.com/mtm/ferumoxytol.html,Iron products,,,7.4,8,https://www.drugs.com/comments/ferumoxytol/feraheme.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,Iron Deficiency Anemia  ,7.4,8,https://www.drugs.com/comments/ferumoxytol/feraheme.html
Simponi,golimumab,Injection,"April 24, 2009","Centocor, Inc.","Rheumatoid Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Ulcerative Colitis",https://www.drugs.com/simponi.html,https://www.drugs.com/mtm/golimumab.html,TNF alfa inhibitors,https://www.drugs.com/images/pills/custom/pill33201-1/simponi.jpeg,,6.3,114,https://www.drugs.com/comments/golimumab/simponi.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Rheumatoid Arthritis  ,6.6,51,https://www.drugs.com/comments/golimumab/simponi.html
Intuniv,guanfacine,Extended Release Tablets  - formerly Connexyn,"September 2, 2009",Shire plc,Attention-Deficit Hyperactivity Disorder,https://www.drugs.com/intuniv.html,https://www.drugs.com/mtm/guanfacine.html,"Antiadrenergic agents, centrally acting",https://www.drugs.com/images/pills/mmx/t109942f/intuniv.jpg,,6.3,162,https://www.drugs.com/comments/guanfacine/intuniv.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,ADHD  ,6.3,160,https://www.drugs.com/comments/guanfacine/intuniv.html
Fanapt,iloperidone,Tablets,"May 6, 2009",Vanda Pharmaceuticals Inc.,"Schizophrenia, Bipolar Disorder",https://www.drugs.com/fanapt.html,https://www.drugs.com/mtm/iloperidone.html,Atypical antipsychotics,https://www.drugs.com/images/pills/nlm/430680108.jpg,"quetiapine, lamotrigine, aripiprazole, Abilify, Seroquel, olanzapine, risperidone",6.4,31,https://www.drugs.com/comments/iloperidone/fanapt.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Schizophrenia  ,6.4,19,https://www.drugs.com/comments/iloperidone/fanapt.html
Plan B One-Step,levonorgestrel,Tablet,"July 10, 2009","Teva Pharmaceuticals, Inc.",Emergency Contraception,https://www.drugs.com/plan-b.html,https://www.drugs.com/mtm/levonorgestrel-emergency-contraceptive.html,Contraceptives,https://www.drugs.com/images/pills/fio/TEV09420.JPG,,8.6,"2,800",https://www.drugs.com/comments/levonorgestrel/plan-b-one-step.html,Over the counter,Risk data available,Not a controlled drug,,Drug history at FDA,Emergency Contraception  ,8.6,2772,https://www.drugs.com/comments/levonorgestrel/plan-b-one-step.html
Savella,milnacipran,,"January 14, 2009","Allergan, Inc.",Fibromyalgia,https://www.drugs.com/savella.html,https://www.drugs.com/mtm/milnacipran.html,Serotonin-norepinephrine reuptake inhibitors,https://www.drugs.com/images/pills/nlm/200000856.jpg,"prednisone, duloxetine, pregabalin, Cymbalta, Lyrica, Deltasone",6.6,346,https://www.drugs.com/comments/milnacipran/savella.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Fibromyalgia  ,6.6,340,https://www.drugs.com/comments/milnacipran/savella.html
Embeda,morphine sulfate and naltrexone hydrochloride,Extended Release Capsules,"August 13, 2009","King Pharmaceuticals , Inc.",Pain,https://www.drugs.com/embeda.html,https://www.drugs.com/cons/morphine-and-naltrexone.html,Narcotic analgesic combinations,https://www.drugs.com/images/pills/fio/PFZ04300.JPG,"gabapentin, acetaminophen, tramadol, cyclobenzaprine, naproxen, oxycodone, Tylenol",5.3,49,https://www.drugs.com/comments/morphine-naltrexone/embeda.html,Discontinued,Risk data available,High potential for abuse,Anti-Doping Classification,Drug history at FDA,Chronic Pain  ,4.5,35,https://www.drugs.com/comments/morphine-naltrexone/embeda.html
Creon,pancrelipase,Delayed-Release Capsules,"April 30, 2009","Solvay Pharmaceuticals, Inc.",Pancreatic Exocrine Dysfunction,https://www.drugs.com/creon.html,https://www.drugs.com/mtm/pancrelipase.html,Digestive enzymes,https://www.drugs.com/images/pills/nlm/000323016.jpg,,6.2,58,https://www.drugs.com/comments/pancrelipase/creon.html,Prescription only,Risk data available,Not a controlled drug,,,Pancreatic Exocrine Dysfunction  ,5.4,33,https://www.drugs.com/comments/pancrelipase/creon.html
Zenpep,pancrelipase,Capsules  - formerly Zentase,"August 27, 2009","Allergan, Inc.",Pancreatic Exocrine Dysfunction,https://www.drugs.com/zenpep.html,https://www.drugs.com/mtm/pancrelipase.html,Digestive enzymes,https://www.drugs.com/images/pills/fio/APT03070.JPG,"azithromycin, Zithromax, gentamicin, Creon, tobramycin, pancrelipase, pancreatin",7.7,15,https://www.drugs.com/comments/pancrelipase/zenpep.html,Prescription only,Risk data available,Not a controlled drug,,,Pancreatic Exocrine Dysfunction  ,7.7,11,https://www.drugs.com/comments/pancrelipase/zenpep.html
Votrient,pazopanib,Tablets,"October 19, 2009",GlaxoSmithKline,"Renal Cell Carcinoma, Soft Tissue Sarcoma",https://www.drugs.com/votrient.html,https://www.drugs.com/mtm/pazopanib.html,VEGF/VEGFR  inhibitors,https://www.drugs.com/images/pills/nlm/001730804.jpg,"Keytruda, Avastin, pembrolizumab, doxorubicin, bevacizumab, nivolumab, Afinitor",8.2,82,https://www.drugs.com/comments/pazopanib/votrient.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Renal Cell Carcinoma  ,8.2,59,https://www.drugs.com/comments/pazopanib/votrient.html
Livalo,pitavastatin,Tablets,"August 3, 2009","Kowa Company, Ltd.",High Cholesterol,https://www.drugs.com/livalo.html,https://www.drugs.com/mtm/pitavastatin.html,Zypitamag,https://www.drugs.com/images/pills/nlm/668690204.jpg,"Repatha, atorvastatin, rosuvastatin, simvastatin, ezetimibe, Crestor, Zetia",5.5,90,https://www.drugs.com/comments/pitavastatin/livalo.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,High Cholesterol  ,5.5,88,https://www.drugs.com/comments/pitavastatin/livalo.html
Effient,prasugrel,Tablets,"July 10, 2009","Daiichi Sankyo Company, Limited and Eli Lilly and Company",Acute Coronary Syndrome,https://www.drugs.com/effient.html,https://www.drugs.com/mtm/prasugrel.html,Platelet aggregation inhibitors,https://www.drugs.com/images/pills/nlm/000025123.jpg,"lisinopril, metoprolol, aspirin, propranolol, clopidogrel, Plavix, enoxaparin",7.0,21,https://www.drugs.com/comments/prasugrel/effient.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Acute Coronary Syndrome  ,7.4,17,https://www.drugs.com/comments/prasugrel/effient.html
Onglyza,saxagliptin,Tablets,"July 31, 2009",AstraZeneca,"Diabetes, Type 2",https://www.drugs.com/onglyza.html,https://www.drugs.com/mtm/saxagliptin.html,Dipeptidyl peptidase 4 inhibitors,https://www.drugs.com/images/pills/nlm/003106105.jpg,"metformin, Trulicity, Lantus, Tresiba, Victoza, Levemir",5.9,15,https://www.drugs.com/comments/saxagliptin/onglyza.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,"Diabetes, Type 2  ",5.9,15,https://www.drugs.com/comments/saxagliptin/onglyza.html
Sumavel DosePro,sumatriptan,Injection,"July 15, 2009","Zogenix, Inc.","Migraine, Cluster Headaches",https://www.drugs.com/sumavel-dosepro.html,https://www.drugs.com/mtm/sumatriptan-injection.html,Antimigraine agents,,,8.5,43,https://www.drugs.com/comments/sumatriptan/sumavel-dosepro.html,Discontinued,Risk data available,Not a controlled drug,,Drug history at FDA,Migraine  ,8.5,37,https://www.drugs.com/comments/sumatriptan/sumavel-dosepro.html
Lysteda,tranexamic acid,Tablets  - formerly XP12B,"November 13, 2009","Xanodyne Pharmaceuticals, Inc.",Menorrhagia,https://www.drugs.com/lysteda.html,https://www.drugs.com/mtm/tranexamic-acid.html,Miscellaneous coagulation modifiers,https://www.drugs.com/images/pills/fio/PCO01210.JPG,,8.1,70,https://www.drugs.com/comments/tranexamic-acid/lysteda.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,Heavy Menstrual Bleeding  ,8.1,47,https://www.drugs.com/comments/tranexamic-acid/lysteda.html
Tyvaso,treprostinil,Inhalation Solution,"July 30, 2009",United Therapeutics Corporation,Pulmonary Arterial Hypertension,https://www.drugs.com/tyvaso.html,https://www.drugs.com/mtm/treprostinil.html,Tyvaso DPI,,"sildenafil, tadalafil, Adcirca, ambrisentan, Revatio, Opsumit",7.2,16,https://www.drugs.com/comments/treprostinil/tyvaso.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,Pulmonary Arterial Hypertension  ,7.2,16,https://www.drugs.com/comments/treprostinil/tyvaso.html
Stelara,ustekinumab,Injection,"September 25, 2009","Janssen Biotech, Inc.","Psoriasis, Psoriatic Arthritis, Crohn's Disease, Maintenance, Ulcerative Colitis",https://www.drugs.com/stelara.html,https://www.drugs.com/ustekinumab.html,Interleukin inhibitors,https://www.drugs.com/images/pills/custom/pill32689-2/stelara.jpeg,"Entyvio, Cimzia, Otezla, Taltz, Lialda, Remicade, Simponi",7.5,242,https://www.drugs.com/comments/ustekinumab/stelara.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Psoriasis  ,8.3,138,https://www.drugs.com/comments/ustekinumab/stelara.html
Edluar,zolpidem,Sublingual Tablets  - formerly Sublinox,"March 13, 2009",Orexo and Meda AB,Insomnia,https://www.drugs.com/edluar.html,https://www.drugs.com/zolpidem.html,"Miscellaneous anxiolytics, sedatives and hypnotics",https://www.drugs.com/images/pills/fio/MYN60100.JPG,,9.2,13,https://www.drugs.com/comments/zolpidem/edluar.html,Prescription only,Risk data available,Some potential for abuse,,Drug history at FDA,Insomnia  ,9.3,13,https://www.drugs.com/comments/zolpidem/edluar.html
Acuvail,ketorolac tromethamine,Ophthalmic Solution,"July 22, 2009","Allergan, Inc.",Postoperative Ocular Inflammation,https://www.drugs.com/acuvail.html,https://www.drugs.com/mtm/ketorolac-ophthalmic.html,Acular,,"diclofenac ophthalmic, dexamethasone ophthalmic, ketorolac ophthalmic, prednisolone ophthalmic, Lotemax, flurbiprofen ophthalmic",,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Adcirca,tadalafil,Tablets,"May 22, 2009",United Therapeutics Corporation,Pulmonary Arterial Hypertension,https://www.drugs.com/adcirca.html,https://www.drugs.com/tadalafil.html,Agents for pulmonary hypertension,https://www.drugs.com/images/pills/fio/LLY04670.JPG,,,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Agriflu,"influenza virus vaccine, inactivated",Injection,"November 27, 2009","Novartis Vaccines and Diagnostics, Inc.",Influenza Prophylaxis,https://www.drugs.com/agriflu.html,https://www.drugs.com/mtm/influenza-virus-vaccine-injection.html,Viral vaccines,,,,,,Discontinued,Risk data available,Not a controlled drug,,,,,,
AllerNaze,triamcinolone acetonide,Nasal Spray  - formerly AllerNase,"January 7, 2009","Collegium Pharmaceutical, Inc.",Allergic Rhinitis,https://www.drugs.com/allernaze.html,https://www.drugs.com/mtm/triamcinolone-nasal.html,Nasal steroids,,,,,,Discontinued,Risk data available,Not a controlled drug,Anti-Doping Classification,,,,,
Arzerra,ofatumumab,Injection,"October 26, 2009",GlaxoSmithKline,Chronic Lymphocytic Leukemia,https://www.drugs.com/arzerra.html,https://www.drugs.com/mtm/ofatumumab.html,CD20 monoclonal antibodies,,"Imbruvica, Jaypirca, Venclexta, rituximab, cyclophosphamide, Rituxan, Calquence",,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
ATryn,,,"February 6, 2009","GTC Biotherapeutics, Inc.",Antithrombin III Deficiency,https://www.drugs.com/atryn.html,https://www.drugs.com/monograph/antithrombin-alfa.html,Miscellaneous coagulation modifiers,,,,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Berinert,,,"October 9, 2009",CSL Behring,Hereditary Angioedema,https://www.drugs.com/berinert.html,https://www.drugs.com/mtm/complement-c1-esterase-inhibitor.html,Hereditary angioedema agents,https://www.drugs.com/images/pills/custom/pill32772-1/berinert.png,,,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Besivance,besifloxacin,Ophthalmic Suspension,"May 28, 2009",Bausch & Lomb,"Conjunctivitis, Bacterial",https://www.drugs.com/besivance.html,https://www.drugs.com/mtm/besifloxacin-ophthalmic.html,Ophthalmic anti-infectives,,,,,,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,,,,
Caldolor,ibuprofen,Intravenous Injection,"June 11, 2009",Cumberland Pharmaceuticals Inc.,"Pain, Fever",https://www.drugs.com/caldolor.html,https://www.drugs.com/ibuprofen.html,Nonsteroidal anti-inflammatory drugs,,,,,,Rx and/or OTC,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Cervarix,,,"October 16, 2009",GlaxoSmithKline,Human Papillomavirus Prophylaxis,https://www.drugs.com/cervarix.html,https://www.drugs.com/mtm/human-papillomavirus-hpv-vaccine-9-valent.html,Viral vaccines,,,,,,Discontinued,Risk data available,Not a controlled drug,,,,,,
Cetraxal,ciprofloxacin otic,Solution,"May 1, 2009",Salvat,Otitis Externa,https://www.drugs.com/cetraxal.html,https://www.drugs.com/mtm/ciprofloxacin-otic.html,Otiprio,,"ciprofloxacin otic, Floxin Otic, Cortisporin-TC",,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Cycloset,bromocriptine mesylate,Tablets,"May 5, 2009","VeroScience and S2 Therapeutics, Inc.","Diabetes, Type 2",https://www.drugs.com/cycloset.html,https://www.drugs.com/mtm/bromocriptine.html,Dopaminergic antiparkinsonism agents,https://www.drugs.com/images/pills/nlm/200001693.jpg,"metformin, Trulicity, Lantus, Tresiba, Victoza, Levemir",,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Exforge HCT,"amlodipine, valsartan and hydrochlorothiazide",Tablets,"April 30, 2009",Novartis AG,High Blood Pressure,https://www.drugs.com/exforge-hct.html,https://www.drugs.com/mtm/amlodipine-hydrochlorothiazide-and-valsartan.html,Miscellaneous antihypertensive combinations,https://www.drugs.com/images/pills/fio/NVR05590.JPG,,,,,Prescription only,Risk data available,Not a controlled drug,Anti-Doping Classification,Drug history at FDA,,,,
Extavia,interferon beta-1b,,"August 14, 2009",,Multiple Sclerosis,https://www.drugs.com/extavia.html,https://www.drugs.com/mtm/interferon-beta-1b.html,Interferons,,,,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Folotyn,pralatrexate,Injection,"September 24, 2009","Allos Therapeutics, Inc.",Peripheral T-cell Lymphoma,https://www.drugs.com/folotyn.html,https://www.drugs.com/mtm/pralatrexate.html,Antimetabolites,,,,,,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,,,,
Gelnique,oxybutynin hydrochloride,Topical Gel  - formerly OTG,"January 27, 2009","Watson Pharmaceuticals, Inc.",Overactive Bladder,https://www.drugs.com/gelnique.html,https://www.drugs.com/oxybutynin.html,Oxytrol,,,,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Hiberix,,,"August 19, 2009",GlaxoSmithKline,Haemophilus influenzae Prophylaxis,https://www.drugs.com/hiberix.html,https://www.drugs.com/mtm/haemophilus-b-conjugate-prp-t-vaccine.html,ActHIB,,"rifampin, Rifadin, Pediarix, Pentacel, Comvax, haemophilus b conjugate (prp-t) vaccine",,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Ilaris,canakinumab,Injection,"June 17, 2009",Novartis Pharmaceuticals Corporation,"Cryopyrin-Associated Periodic Syndromes, Juvenile Idiopathic Arthritis, Familial Cold Autoinflammatory Syndrome, Muckle Wells Syndrome, Familial Mediterranean Fever, Still's Disease, Tumor Necrosis Factor Receptor Associated Periodic Syndrome, Hyperimmunoglobulin D Syndrome",https://www.drugs.com/ilaris.html,https://www.drugs.com/mtm/canakinumab.html,Interleukin inhibitors,https://www.drugs.com/images/pills/custom/pill32967-1/ilaris.jpeg,,,,,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,,,,
Influenza A (H1N1) 2009 Monovalent Vaccine,H1N1,2009 Monovalent Vaccine,"September 15, 2009","CSL Limited; Novartis Vaccines and Diagnostics Limited; Sanofi Pasteur, Inc.; MedImmune LLC",Prevention of H1N1 Influenza,https://www.drugs.com/influenza-a-h1n1-2009-monovalent-vaccine.html,https://www.drugs.com/drug-class/viral-vaccines.html,,,"Tamiflu, oseltamivir, Xofluza, influenza virus vaccine, inactivated, Afluria, baloxavir marboxil, zanamivir",,,,Discontinued,Risk data available,Not a controlled drug,,,,,,
Istodax,romidepsin,for Injection,"November 5, 2009",Gloucester Pharmaceuticals,Cutaneous T-cell Lymphoma,https://www.drugs.com/istodax.html,https://www.drugs.com/mtm/romidepsin.html,Histone deacetylase inhibitors,,"bexarotene, methoxsalen, vorinostat, Beleodaq, romidepsin, Targretin, Folotyn",,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Ixiaro,"Japanese Encephalitis Virus Vaccine, Inactivated, Adsorbed",,"March 30, 2009",Intercell AG,Japanese Encephalitis Virus Prophylaxis,https://www.drugs.com/ixiaro.html,https://www.drugs.com/mtm/japanese-encephalitis-virus-vaccine-sa14-14-2.html,Viral vaccines,,,,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Kalbitor,ecallantide,Injection  - formerly DX-88,"December 1, 2009",Dyax Corp.,Angioedema,https://www.drugs.com/kalbitor.html,https://www.drugs.com/mtm/ecallantide.html,Hereditary angioedema agents,https://www.drugs.com/images/pills/custom/pill32877-1.webp,,,,,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,,,,
Metozolv ODT,metoclopramide,Orally Disintegrating Tablets,"September 4, 2009","Salix Pharmaceuticals, Ltd.","GERD, Gastroparesis",https://www.drugs.com/metozolv-odt.html,https://www.drugs.com/metoclopramide.html,GI stimulants,,"omeprazole, famotidine, pantoprazole, metoclopramide, Protonix, Nexium, esomeprazole",,,,Discontinued,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
FDA Approves Invega Sustenna for the Acute and Maintenance Treatment of Schizophrenia,paliperidone palmitate,Extended-Release Injectable Suspension,"July 31, 2009","Janssen Pharmaceuticals,  Inc.","Schizophrenia, Schizoaffective Disorder",https://www.drugs.com/newdrugs/fda-approves-invega-sustenna-acute-maintenance-schizophrenia-1543.html,,,,,,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Onsolis,fentanyl,Buccal Soluble Film,"July 16, 2009","BioDelivery Sciences International, Inc.",Pain,https://www.drugs.com/onsolis.html,https://www.drugs.com/fentanyl.html,Fentora,,"gabapentin, acetaminophen, tramadol, naproxen, oxycodone, Cymbalta, fentanyl",,,,Discontinued,Risk data available,High potential for abuse,Anti-Doping Classification,Drug history at FDA,,,,
Qutenza,capsaicin,Transdermal Patch,"November 16, 2009","Averitas Pharma, Inc.","Neuropathic Pain, Postherpetic Neuralgia, Diabetic Peripheral Neuropathy",https://www.drugs.com/qutenza.html,https://www.drugs.com/mtm/capsaicin-topical.html,Miscellaneous topical agents,,"gabapentin, acetaminophen, tramadol, cyclobenzaprine, duloxetine, naproxen, oxycodone",,,,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,,,,
