name,molecule,dosage_form,date_of_approval,company,treatment_for
Velsipity,etrasimod,Velsipity  Tablets,"October 12, 2023",Pfizer Inc.,Ulcerative Colitis
Zilbrysq,zilucoplan,Zilbrysq  Injection,"October 17, 2023","UCB, Inc.",
Xphozah,tenapanor,Xphozah  Tablets,"October 17, 2023","Ardelyx, Inc.",Hyperphosphatemia of Renal Failure
Qlosi,pilocarpine hydrochloride,Qlosi  Ophthalmic Solution  - formerly CSF-1,"October 17, 2023",Orasis Pharmaceuticals,Presbyopia
Combogesic IV,acetaminophen and ibuprofen,Combogesic IV  Injection,"October 17, 2023",AFT Pharmaceuticals Ltd.,Postoperative Pain
Bimzelx,bimekizumab-bkzx,Bimzelx  Injection,"October 17, 2023","UCB, Inc.",Plaque Psoriasis
Penbraya,"meningococcal groups A, B, C, W, and Y vaccine",Penbraya  Injection,"October 20, 2023","Pfizer, Inc.",Meningococcal Disease Prophylaxis
Zituvio,sitagliptin,Zituvio  Tablets,"October 18, 2023",Zydus Pharmaceuticals USA Inc.,"Diabetes, Type 2"
Cabtreo,"adapalene, benzoyl peroxide and clindamycin phosphate",Cabtreo  Topical Gel,"October 20, 2023",Bausch Health Companies Inc.,Acne
Zymfentra,infliximab-dyyb,Zymfentra  Subcutaneous Injection,"October 20, 2023",Celltrion USA,"Crohn's Disease, Ulcerative Colitis"
Agamree,vamorolone,Agamree  Oral Suspension,"October 26, 2023","Catalyst Pharmaceuticals, Inc.",Duchenne Muscular Dystrophy
Omvoh,mirikizumab-mrkz,Omvoh  Injection,"October 26, 2023",Eli Lilly and Company,Ulcerative Colitis
Loqtorzi,toripalimab-tpzi,Loqtorzi  Injection,"October 27, 2023","Coherus Biosciences, Inc.",Nasopharyngeal Carcinoma
Wezlana,ustekinumab-auub,Wezlana  Injection,"October 31, 2023","Amgen, Inc.","Plaque Psoriasis, Psoriatic Arthritis, Crohn's Disease, Ulcerative Colitis"
Voquezna,vonoprazan,Voquezna  Tablets,"November 1, 2023","Phathom Pharmaceuticals, Inc.",Erosive Esophagitis
Zituvimet,metformin hydrochloride and sitagliptin,Zituvimet  Tablets,"November 3, 2023",Zydus Pharmaceuticals USA Inc.,"Diabetes, Type 2"
Zepbound,tirzepatide,Zepbound  Injection,"November 8, 2023",Eli Lilly and Company,Weight Loss (Obesity/Overweight)
Fruzaqla,fruquintinib,Fruzaqla  Capsules,"November 8, 2023",Takeda,Colorectal Cancer
Adzynma,"ADAMTS13, recombinant-krhn",Adzynma  Lyophilized Powder for Injection,"November 9, 2023",Takeda,Thrombotic Thrombocytopenic Purpura
Ixchiq,"chikungunya vaccine, live",Ixchiq  Injection  - formerly VLA1553,"November 9, 2023",Valneva SE,Chikungunya Disease Prevention
DefenCath,taurolidine and heparin,DefenCath  Catheter Lock Solution,"November 15, 2023",CorMedix Inc.,Prevention of Catheter-Related Bloodstream Infections
Augtyro,repotrectinib,Augtyro  Capsules,"November 15, 2023",Bristol Myers Squibb,Non-Small Cell Lung Cancer
Truqap,capivasertib,Truqap  Tablets,"November 16, 2023",AstraZeneca,Breast Cancer
Ryzneuta,efbemalenograstim alfa-vuxw,Ryzneuta  Injection,"November 16, 2023",Evive Biotech,Neutropenia Associated with Chemotherapy
Ogsiveo,nirogacestat,Ogsiveo  Tablets,"November 27, 2023","SpringWorks Therapeutics, Inc.",Desmoid Tumors
Fabhalta,iptacopan,Fabhalta  Capsules,"December 5, 2023",Novartis,Paroxysmal Nocturnal Hemoglobinuria
Avzivi,bevacizumab-tnjn,Avzivi  Injection,"December 6, 2023","Bio-Thera Solutions, Ltd.","Colorectal Cancer, Non-Small Cell Lung Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer"
Casgevy,exagamglogene autotemcel,Casgevy  Suspension for Intravenous Infusion,"December 8, 2023",Vertex Pharmaceuticals Incorporated and CRISPR Therapeutics,"Sickle Cell Disease, Beta Thalassemia"
Lyfgenia,lovotibeglogene autotemcel,Lyfgenia  Suspension for Intravenous Infusion,"December 8, 2023","Bluebird Bio, Inc.",Sickle Cell Disease
iDose TR,travoprost,iDose TR  Intracameral Implant,"December 13, 2023",Glaukos Corporation,"Glaucoma, Open Angle, Glaucoma/Intraocular Hypertension"
Iwilfin,eflornithine,Iwilfin  Tablets,"December 13, 2023","US WorldMeds, LLC",Neuroblastoma
Alyglo,"immune globulin intravenous, human-stwk",Alyglo  Liquid for Intravenous Injection,"December 15, 2023","GC Biopharma USA, Inc.",Primary Immunodeficiency Syndrome
Filsuvez,birch triterpenes,Filsuvez  Topical Gel  - formerly Oleogel-S10,"December 19, 2023",Chiesi Global Rare Diseases,Epidermolysis Bullosa
Wainua,eplontersen,Wainua  Injection,"December 21, 2023",Ionis Pharmaceuticals and AstraZeneca,Hereditary Transthyretin-Mediated Amyloid Polyneuropathy (ATTRv-PN)
